FID,Id,Distance,TransectID,FRBWidth,Cover,Height,LU
0,1,10,1,40.000000000000000,0.790000000000000,5.231017293810000,40
1,2,20,1,40.000000000000000,1.000000000000000,11.922692347100000,40
2,3,30,1,40.000000000000000,1.000000000000000,13.209684295700001,40
3,4,40,1,40.000000000000000,0.390000000000000,5.879015017780000,40
4,5,50,1,40.000000000000000,0.000000000000000,0.000000000000000,40
5,6,60,1,40.000000000000000,0.040404040404000,2.330806732180000,20
6,7,70,1,40.000000000000000,0.000000000000000,0.000000000000000,20
7,8,80,1,40.000000000000000,0.089108910891100,2.116278754340000,20
8,9,90,1,40.000000000000000,0.148514851485000,2.306444295250000,20
9,10,100,1,40.000000000000000,0.000000000000000,0.000000000000000,20
10,11,110,1,40.000000000000000,0.000000000000000,0.000000000000000,20
11,12,120,1,40.000000000000000,0.000000000000000,0.000000000000000,20
12,13,130,1,40.000000000000000,0.000000000000000,0.000000000000000,20
13,14,140,1,40.000000000000000,0.000000000000000,0.000000000000000,20
14,15,150,1,40.000000000000000,0.000000000000000,0.000000000000000,20
15,16,160,1,40.000000000000000,0.000000000000000,0.000000000000000,20
16,17,170,1,40.000000000000000,0.000000000000000,0.000000000000000,20
17,18,180,1,40.000000000000000,0.000000000000000,0.000000000000000,20
18,19,190,1,40.000000000000000,0.000000000000000,0.000000000000000,20
19,20,200,1,40.000000000000000,0.000000000000000,0.000000000000000,20
20,1,10,-1,200.000000000000000,1.000000000000000,13.074511566200000,40
21,2,20,-1,200.000000000000000,1.000000000000000,25.107259467100000,40
22,3,30,-1,200.000000000000000,1.000000000000000,20.442666320800001,40
23,4,40,-1,200.000000000000000,1.000000000000000,16.242962341300000,40
24,5,50,-1,200.000000000000000,1.000000000000000,10.988302211600001,40
25,6,60,-1,200.000000000000000,1.000000000000000,11.207369842500000,40
26,7,70,-1,200.000000000000000,1.000000000000000,15.221412353500000,40
27,8,80,-1,200.000000000000000,1.000000000000000,18.680156745500000,40
28,9,90,-1,200.000000000000000,1.000000000000000,22.759815562899998,40
29,10,100,-1,200.000000000000000,1.000000000000000,14.112905731200000,40
30,11,110,-1,200.000000000000000,1.000000000000000,21.980683883800001,40
31,12,120,-1,200.000000000000000,1.000000000000000,24.044412594000001,40
32,13,130,-1,200.000000000000000,1.000000000000000,21.246683807400000,40
33,14,140,-1,200.000000000000000,1.000000000000000,26.599025878900001,40
34,15,150,-1,200.000000000000000,1.000000000000000,20.471620964300001,40
35,16,160,-1,200.000000000000000,1.000000000000000,24.408551635700000,40
36,17,170,-1,200.000000000000000,1.000000000000000,22.747749175999999,40
37,18,180,-1,200.000000000000000,1.000000000000000,20.674256730800000,40
38,19,190,-1,200.000000000000000,1.000000000000000,18.766326441899999,40
39,20,200,-1,200.000000000000000,1.000000000000000,19.534723205599999,40
40,1,10,2,20.000000000000000,1.000000000000000,10.091429748500000,40
41,2,20,2,20.000000000000000,0.575757575758000,4.575394747550000,40
42,3,30,2,20.000000000000000,0.000000000000000,0.000000000000000,40
43,4,40,2,20.000000000000000,0.000000000000000,0.000000000000000,20
44,5,50,2,20.000000000000000,0.000000000000000,0.000000000000000,20
45,6,60,2,20.000000000000000,0.140000000000000,2.094231741770000,20
46,7,70,2,20.000000000000000,0.396039603960000,4.059963226320000,20
47,8,80,2,20.000000000000000,0.000000000000000,0.000000000000000,20
48,9,90,2,20.000000000000000,0.000000000000000,0.000000000000000,20
49,10,100,2,20.000000000000000,0.000000000000000,0.000000000000000,20
50,11,110,2,20.000000000000000,0.000000000000000,0.000000000000000,20
51,12,120,2,20.000000000000000,0.000000000000000,0.000000000000000,20
52,13,130,2,20.000000000000000,0.000000000000000,0.000000000000000,20
53,14,140,2,20.000000000000000,0.000000000000000,0.000000000000000,20
54,15,150,2,20.000000000000000,0.000000000000000,0.000000000000000,20
55,16,160,2,20.000000000000000,0.000000000000000,0.000000000000000,20
56,17,170,2,20.000000000000000,0.000000000000000,0.000000000000000,20
57,18,180,2,20.000000000000000,0.000000000000000,0.000000000000000,20
58,19,190,2,20.000000000000000,0.000000000000000,0.000000000000000,20
59,20,200,2,20.000000000000000,0.000000000000000,0.000000000000000,20
60,1,10,-2,200.000000000000000,1.000000000000000,16.484453735399999,40
61,2,20,-2,200.000000000000000,1.000000000000000,18.551952056899999,40
62,3,30,-2,200.000000000000000,1.000000000000000,14.990695160200000,40
63,4,40,-2,200.000000000000000,1.000000000000000,14.357937128900000,40
64,5,50,-2,200.000000000000000,1.000000000000000,12.597196655299999,40
65,6,60,-2,200.000000000000000,1.000000000000000,15.943086242700000,40
66,7,70,-2,200.000000000000000,1.000000000000000,16.410934448199999,40
